Nombre,Símbolo,Precio Actual,Volumen (USD),Capitalización de Mercado,Ranking
Bitcoin,BTC,63060.76771890925,44410326995.83706,1242166020726.4246,1
Ethereum,ETH,2951.2207548737947,20873722790.436108,354480775359.75995,2
Tether,USDT,0.9992061188,44374238536.15291,110752007592.69168,3
BNB,BNB,594.7947879115407,3801560355.391166,91512836108.13618,4
Solana,SOL,147.93396583271436,4636284766.036011,66353316090.261185,5
USDC,USDC,1.0,5631293614.0,33126205067.0,6
XRP,XRP,0.5072734112175802,656598585.3612922,28082238264.76923,7
Lido Staked Ether,STETH,2953.11,79159067.0,27658099586.0,8
Toncoin,TON,7.142021523329596,446897309.78308946,24811555558.973732,9
Dogecoin,DOGE,0.150309405905751,1757889334.5130408,21684833821.503956,10
Cardano,ADA,0.4402998840057491,293792545.31828004,15563671403.2122,11
Shiba Inu,SHIB,2.356e-05,815823274.0,13879535369.0,12
Avalanche,AVAX,32.81,448405878.0,12521526481.0,13
TRON,TRX,0.1261388767416914,132506503.71142529,11033960819.719088,14
Wrapped Bitcoin,WBTC,63081.0,279770355.0,9790766922.0,15
Polkadot,DOT,6.689754034435172,141017687.00655383,9122555699.647812,16
Bitcoin Cash,BCH,442.1739240599694,537044851.223998,8713111900.994864,17
Chainlink,LINK,13.490946441547996,205370999.22941583,7920534264.595382,18
NEAR Protocol,NEAR,7.303072558109029,441723436.79674155,7823586340.038927,19
Polygon,MATIC,0.6671907692785055,190049420.85945824,6193494258.968493,20
Litecoin,LTC,81.00017413453806,333428293.7921661,6036692525.708697,21
Dai,DAI,0.999406,659243245.0,5473647222.0,22
Internet Computer,ICP,11.78,133847402.0,5457570695.0,23
Fetch.ai,FET,2.1306996251009673,194662419.02495933,5371520113.764601,24
Uniswap,UNI,7.0098297444533255,78957885.15440412,5283776002.714045,25
Render,RNDR,11.120443532483156,454560569.4800976,4321885026.774202,26
Pepe,PEPE,1.021e-05,1832334753.0,4312280030.0,27
Ethereum Classic,ETC,26.47124052553531,237128260.64719364,3892170261.732317,28
Hedera,HBAR,0.10816171354993734,81718229.77302462,3865590962.5747643,29
First Digital USD,FDUSD,1.0000020527206688,3270227243.7949123,3845948830.6424503,30
Aptos,APT,8.26,144611840.0,3585653707.0,31
Cronos,CRO,0.124238,11120878.0,3323770644.0,32
Cosmos Hub,ATOM,8.505206809607477,83435479.48371728,3322885384.9584455,33
Mantle,MNT,0.9897387888847679,28554114.820177782,3230944582.460843,34
Immutable,IMX,2.193627264250798,46450620.06739588,3195709649.182715,35
Filecoin,FIL,5.595098525076754,204049378.4324832,3085222618.4092383,36
dogwifhat,WIF,3.085980377771413,869818207.1078745,3082667244.5499945,37
Stellar,XLM,0.10432863587263476,42636376.9301874,3019119277.662931,38
OKB,OKB,49.66355339135909,2001471.955451523,2979813203.4815454,39
Stacks,STX,2.039246737010693,100653242.61654343,2976629242.2892656,40
